#,Class,Who,Progress,Num,Denom,✓,,Name,Requirements,Rewards,Incomplete,Actual Requirements (if different),Description,Icon Name,Tab,Actual Name,Time,Responsibility
233,Subset,,,0,0,FALSE,,Shrooms,Gather both types of mushroom (Obtain a red and brown mushroom),"3 Red Mushrooms, 3 Brown Mushrooms",,Obtain a red and brown mushroom,Gather both types of mushroom,red_mushroom,Farming,blazeandcave:farming/shrooms,,
234,Subset,,,0,0,FALSE,,"Mushroom, mushroom!",Slurp some mushroom stew (Eat a mushroom stew),"3 Red Mushrooms, 3 Brown Mushrooms",,Eat a mushroom stew,Slurp some mushroom stew,mushroom_stew,Farming,blazeandcave:farming/mushroom_mushroom,,
235,Subset,,,0,0,FALSE,,Mega Mushroom,Grow a giant mushroom and then harvest it with silk touch (Obtain a red or brown or stem mushroom block),"8 Bone Meal, 4 Red Mushrooms, 4 Brown Mushrooms",,Obtain a red or brown or stem mushroom block,Grow a giant mushroom and then harvest it with silk touch,red_mushroom_block,Farming,blazeandcave:farming/mega_mushroom,,
236,Subset,,,0,0,FALSE,,Suspicious Looking Stew,Slurp some suspicious stew and pray you don't suddenly see giant flying eyeballs in the sky (Eat a suspicious stew),,,Eat a suspicious stew,Slurp some suspicious stew and pray you don't suddenly see giant flying eyeballs in the sky,suspicious_stew,Farming,blazeandcave:farming/suspicious_looking_stew,,
237,Unique,,,0,0,FALSE,,I'm gonna be sick!,Slurp every type of suspicious stew (See requirement notes below),"8 Brown Mushrooms, 8 Red Mushrooms",,See requirement notes below,Slurp every type of suspicious stew,slime_ball,Farming,blazeandcave:farming/im_gonna_be_sick,,Misc
238,Subset,,,0,0,FALSE,,"Sugar, Sugar",Harvest some sugar cane from a river or an ocean (Obtain sugar cane),4 Sugar Cane,,Obtain sugar cane,Harvest some sugar cane from a river or an ocean,sugar_cane,Farming,blazeandcave:farming/sugar_sugar,,
239,Subset,,,0,0,FALSE,,It's full of ink,Obtain some ink from hunting a squid,4 Ink Sacs,,,Obtain some ink from hunting a squid,ink_sac,Farming,blazeandcave:farming/its_full_of_ink,,
240,Subset,,,0,0,FALSE,,Squid Game,Hunt enough Squids to collect a stack of Ink Sacs,8 Ink Sacs,,,Hunt enough Squids to collect a stack of Ink Sacs,squid_spawn_egg,Farming,blazeandcave:farming/squid_game,,
241,Subset,,,0,0,FALSE,,Write your thoughts,"Use a book, ink and a feather to craft a book and quill",,,,"Use a book, ink and a feather to craft a book and quill",writable_book,Farming,blazeandcave:farming/write_your_thoughts,,
242,Subset,,,0,0,FALSE,,An amazing story!,Finish writing in your book or get a book from another player (Obtain a written book),1 Book and Quill,,Obtain a written book,Finish writing in your book or get a book from another player,written_book,Farming,blazeandcave:farming/an_amazing_story,,
243,Subset,,,0,0,FALSE,,Kelp me!,Collect some kelp from an ocean,8 Kelp,,,Collect some kelp from an ocean,kelp,Farming,blazeandcave:farming/kelp_me,,
244,Subset,,,0,0,FALSE,,Aquatic Biofuel,Craft a dried kelp block for use as a great fuel source,4 Dried Kelp Blocks,,,Craft a dried kelp block for use as a great fuel source,dried_kelp_block,Farming,blazeandcave:farming/aquatic_biofuel,,
245,Subset,,,0,0,FALSE,,Undersea Gardener,Craft a full stack of dried kelp blocks,8 Dried Kelp Blocks,,,Craft a full stack of dried kelp blocks,dried_kelp_block,Farming,blazeandcave:farming/undersea_gardener,,
246,Unique,,,0,0,FALSE,,Castaway,"Eat nothing but dried kelp for three in-game days (Eat dried kelp once; in the following three in-game days, eat nothing but dried kelp.)",16 Dried Kelp Blocks,,"Eat dried kelp once; in the following three in-game days, eat nothing but dried kelp.",Eat nothing but dried kelp for three in-game days,dried_kelp,Farming,blazeandcave:farming/castaway,,Eating
247,Subset,,,0,0,FALSE,,It's a cactus!,Break down a cactus in a desert (Obtain a cactus),2 Cactus,,Obtain a cactus,Break down a cactus in a desert,green_dye,Farming,blazeandcave:farming/its_a_cactus,,
248,Subset,,,0,0,FALSE,,Spikey!,Run into a cactus (Take damage from touching a cactus),5 Cactus,,Take damage from touching a cactus,Run into a cactus,cactus,Farming,blazeandcave:farming/spikey,,
249,Incidental,,,0,0,FALSE,,A Seedy Place,"Plant a seed and watch it grow (Place wheat, melon, pumpkin, beetroot, nether wart or torchflower seeds, or a pitcher pod)",,,"Place wheat, melon, pumpkin, beetroot, nether wart or torchflower seeds, or a pitcher pod",Plant a seed and watch it grow,wheat_seeds,Farming,minecraft:husbandry/plant_seed,,
250,Subset,,,0,0,FALSE,,Souperman,Beetroot soup gives you souperpowers! (Eat a beetroot soup),3 Beetroot,,Eat a beetroot soup,Beetroot soup gives you souperpowers!,beetroot_soup,Farming,blazeandcave:farming/souperman,,
251,Subset,,,0,0,FALSE,,Bake Bread,Grow wheat and use it to bake bread (Eat bread),2 Bread,,Eat bread,Grow wheat and use it to bake bread,bread,Farming,blazeandcave:farming/bake_bread,,
252,Subset,,,0,0,FALSE,,The Lie,"Wheat, sugar, milk and eggs! (Craft cake)",,,Craft cake,"Wheat, sugar, milk and eggs!",cake,Farming,blazeandcave:farming/the_lie,,
253,Subset,,,0,0,FALSE,,Hay there!,Craft a full stack of hay blocks,8 Hay Blocks,,,Craft a full stack of hay blocks,hay_block,Farming,blazeandcave:farming/hay_there,,
254,Unique,,,0,0,FALSE,,Must be your birthday,Eat 100 slices of cake,1 Cake,,,Eat 100 slices of cake,redstone_torch,Farming,blazeandcave:farming/must_be_your_birthday,,Eating
255,Subset,,,0,0,FALSE,,It's where Nutella comes from,Obtain some cocoa beans from a jungle,5 Cocoa Beans,,,Obtain some cocoa beans from a jungle,cocoa_beans,Farming,blazeandcave:farming/its_where_nutella_comes_from,,
256,Subset,,,0,0,FALSE,,Me Love Cookie,Bake some cookies... and then scoff them all yourself (Eat a cookie),,,Eat a cookie,Bake some cookies... and then scoff them all yourself,cookie,Farming,blazeandcave:farming/me_love_cookie,,
257,Child,,,0,0,FALSE,,Hot Chocolate,Plant some cocoa in the nice steamy Nether (Place cocoa beans in the Nether),,,Place cocoa beans in the Nether,Plant some cocoa in the nice steamy Nether,brown_concrete_powder,Farming,blazeandcave:farming/hot_chocolate,,All Items
258,Subset,,,0,0,FALSE,,Naturally Carved,Harvest some spooky pumpkins,3 Pumpkins,,,Harvest some spooky pumpkins,pumpkin,Farming,blazeandcave:farming/naturally_carved,,
259,Subset,,,0,0,FALSE,,The Pie,Bake a pumpkin pie (Obtain a pumpkin pie),2 Pumpkin Pies,,Obtain a pumpkin pie,Bake a pumpkin pie,pumpkin_pie,Farming,blazeandcave:farming/the_pie,,
260,Subset,,,0,0,FALSE,,Olaf,Do you want to build a snow golem?,"2 Snow Blocks, 1 Pumpkin",,,Do you want to build a snow golem?,snow_block,Farming,blazeandcave:farming/olaf,,
261,Subset,,,0,0,FALSE,,Unmasked,Shear the Pumpkin off of a Snow Golem to unveil their true face,,,,Shear the Pumpkin off of a Snow Golem to unveil their true face,shears,Farming,blazeandcave:farming/unmasked,,
262,Subset,,,0,0,FALSE,,Pumpa Kungen!,Carve a full stack of pumpkins (Obtain 64 Carved Pumpkins),8 Carved Pumpkins,,Obtain 64 Carved Pumpkins,Carve a full stack of pumpkins,carved_pumpkin,Farming,blazeandcave:farming/pumpa_kungen,,
263,Subset,,,0,0,FALSE,,The melon! The melon! The melon!,Eat a melon. Be careful not to drop it over a cliff,5 Melon Slices,,,Eat a melon. Be careful not to drop it over a cliff,melon_slice,Farming,blazeandcave:farming/the_melon_the_melon_the_melon,,
264,Subset,,,0,0,FALSE,,Scientific Inaccuracy,"Craft 9 melon slices back into one block that, when broken, will probably not give you all 9 slices back (Craft a melon block)",,,Craft a melon block,"Craft 9 melon slices back into one block that, when broken, will probably not give you all 9 slices back",melon,Farming,blazeandcave:farming/scientific_inaccuracy,,
265,Subset,,,0,0,FALSE,,The Meloncholy Dane,Craft a full stack of melon blocks,8 Melon Blocks,,,Craft a full stack of melon blocks,melon,Farming,blazeandcave:farming/the_meloncholy_dane,,
266,Subset,,,0,0,FALSE,,"Die, Potato!",Squash and eat a potato (Eat a potato or baked potato),4 Potatoes,,Eat a potato or baked potato,Squash and eat a potato,potato,Farming,blazeandcave:farming/die_potato,,
267,Subset,,,0,0,FALSE,,Not today!,Eat a poisonous potato,,,,Eat a poisonous potato,poisonous_potato,Farming,blazeandcave:farming/not_today,,
268,Subset,,,0,0,FALSE,,24 Carrot Gold,Eat a golden carrot,2 Golden Carrots,,,Eat a golden carrot,golden_carrot,Farming,blazeandcave:farming/24_carrot_gold,,
269,Child,,,0,0,FALSE,,The garbage will do!,Craft a composter using wooden slabs then place it (Place a composter),,,Place a composter,Craft a composter using wooden slabs then place it,composter,Farming,blazeandcave:farming/the_garbage_will_do,,All Items
270,Child,,,0,0,FALSE,,Natural Fertiliser,Fill up a composter,4 Bone Meal,,,Fill up a composter,podzol,Farming,blazeandcave:farming/natural_fertiliser,,All Items
271,Incidental,,,0,0,FALSE,,One-course meal,Use bone meal to grow a sapling into a tree (This advancement is awarded when the sapling actually turns into a tree),4 Bone Meal,,This advancement is awarded when the sapling actually turns into a tree,Use bone meal to grow a sapling into a tree,acacia_sapling,Farming,blazeandcave:farming/one_course_meal,,
272,Unique,,,0,0,FALSE,,Combine Harvester,Use bone meal on everything that can be grown (See requirement notes below),32 Bone Meal,,See requirement notes below,Use bone meal on everything that can be grown,bone_meal,Farming,blazeandcave:farming/combine_harvester,,Blocks Misc.
273,Unique,,,0,0,FALSE,,What's new with composting?,Compost every type of compostable item in a Composter (See requirement notes below),64 Bone Meal,,See requirement notes below,Compost every type of compostable item in a Composter,oak_leaves,Farming,blazeandcave:farming/whats_new_with_composting,,Blocks Misc.
274,Child,,,0,0,FALSE,,Come to the countryside!,"Plant every single type of crop on farmland (Plant wheat seeds, beetroot seeds, melon seeds, pumpkin seeds, carrots, potatoes, torchflower seeds and pitcher pod)",,,"Plant wheat seeds, beetroot seeds, melon seeds, pumpkin seeds, carrots, potatoes, torchflower seeds and pitcher pod",Plant every single type of crop on farmland,beetroot_seeds,Farming,blazeandcave:farming/come_to_the_countryside,,Blocks Misc.
275,Subset,,,0,0,FALSE,,Serious Dedication,"Completely use up a diamond hoe, and then reevaluate your life choices (Break a diamond hoe)",,,Break a diamond hoe,"Completely use up a diamond hoe, and then reevaluate your life choices",diamond_hoe,Farming,minecraft:husbandry/break_diamond_hoe,,
276,Incidental,,,0,0,FALSE,,Full Stomach,Fill both your hunger bar and saturation level (Both your hunger level and saturation level must be 20),,,Both your hunger level and saturation level must be 20,Fill both your hunger bar and saturation level,beef,Farming,blazeandcave:farming/full_stomach,,
277,Subset,,,0,0,FALSE,,Vegetarian,"Eat every type of fruit, vegetables, and any sort of plant matter (See requirement notes below)",,,See requirement notes below,"Eat every type of fruit, vegetables, and any sort of plant matter",carrot,Farming,blazeandcave:farming/vegetarian,,
278,Subset,,,0,0,FALSE,,Meat Lovers,"Eat every type of meat, even if uncooked or rotten (See requirement notes below)",,,See requirement notes below,"Eat every type of meat, even if uncooked or rotten",porkchop,Farming,blazeandcave:farming/meat_lovers,,
279,Unique,,,0,0,FALSE,,A Balanced Diet,"Eat everything that is edible, even if it's not good for you (Eat every food required for ""Vegetarian"" and ""Meat Lovers"")",,,"Eat every food required for ""Vegetarian"" and ""Meat Lovers""","Eat everything that is edible, even if it's not good for you",apple,Farming,minecraft:husbandry/balanced_diet,,All Items
280,Subset,,,0,0,FALSE,,A Gluttonous Diet,Obtain a full stack of all the foods (See requirement notes below),,,See requirement notes below,Obtain a full stack of all the foods,rabbit_stew,Farming,blazeandcave:farming/a_gluttonous_diet,,
281,Subset,,,0,0,FALSE,,Animals,The world is full of friends and food (Eat any food item),,,Eat any food item,The world is full of friends and food,beef,Animals,minecraft:husbandry/root,,
282,Subset,,,0,0,FALSE,,Bacon!,Gotta kill this pig pig pig pig! (Kill a pig),2 Raw Porkchops,,Kill a pig,Gotta kill this pig pig pig pig!,porkchop,Animals,blazeandcave:animal/bacon,,
283,Subset,,,0,0,FALSE,,Pork Chop,"You know kung fu, how about pork chop? (Eat a cooked porkchop)",2 Cooked Porkchops,,Eat a cooked porkchop,"You know kung fu, how about pork chop?",cooked_porkchop,Animals,blazeandcave:animal/pork_chop,,
284,Subset,,,0,0,FALSE,,When Pigs Used to Fly,Craft a carrot on a stick so you can ride a pig off a cliff. (Obtain a carrot on a stick),4 Carrots,,Obtain a carrot on a stick,Craft a carrot on a stick so you can ride a pig off a cliff.,carrot_on_a_stick,Animals,blazeandcave:animal/when_pigs_used_to_fly,,
285,Subset,,,0,0,FALSE,,Pig Slaughterer,Collect a stack of raw porkchops,8 Raw Porkchops,,,Collect a stack of raw porkchops,pig_spawn_egg,Animals,blazeandcave:animal/pig_slaughterer,,
286,Child,,,0,0,FALSE,,Swine Sailing,Ride a saddled pig in a boat in a minecart (Ride a saddled pig that is inside a boat that is inside a minecart),16 Carrots,,Ride a saddled pig that is inside a boat that is inside a minecart,Ride a saddled pig in a boat in a minecart,jungle_boat,Animals,blazeandcave:animal/swine_sailing,,afk
287,Subset,,,0,0,FALSE,,Rabbit Season,Killing bunnies is cruel. Period (Eat cooked rabbit),2 Cooked Rabbit,,Eat cooked rabbit,Killing bunnies is cruel. Period,cooked_rabbit,Animals,blazeandcave:animal/rabbit_season,,
288,Subset,,,0,0,FALSE,,They're breeding like rabbits!,Breed two bunnies together,"2 Carrots, 1 Raw Rabbit",,,Breed two bunnies together,carrot,Animals,blazeandcave:animal/theyre_breeding_like_rabbits,,
289,Subset,,,0,0,FALSE,,Lucky Charm,Get a rabbit's foot,,,,Get a rabbit's foot,rabbit_foot,Animals,blazeandcave:animal/lucky_charm,,
290,Subset,,,0,0,FALSE,,Getting Into a Stew,Make and eat some rabbit stew (Eat rabbit stew),,,Eat rabbit stew,Make and eat some rabbit stew,rabbit_stew,Animals,blazeandcave:animal/getting_into_a_stew,,
291,Subset,,,0,0,FALSE,,In a hole there lived a Rabbit,Collect a stack of raw rabbit and rabbit hide,"8 Raw Rabbit, 8 Rabbit Hide, 1 Rabbit's Foot",,,Collect a stack of raw rabbit and rabbit hide,rabbit_spawn_egg,Animals,blazeandcave:animal/in_a_hole_there_lived_a_rabbit,,
292,Unique,,,0,0,FALSE,,Bunny Lover,Breed a baby bunny of every variant (See requirement notes below),,,See requirement notes below,Breed a baby bunny of every variant,golden_carrot,Animals,blazeandcave:animal/bunny_lover,,Explorer
293,Unique,,,0,0,FALSE,,Going Down the Rabbit Hole,"Bring a rabbit to the bottom of the world, then kill it (Kill a rabbit that is below y-level -59.5)","4 Cooked Rabbit, 4 Rabbit Hide",,Kill a rabbit that is below y-level -59.5,"Bring a rabbit to the bottom of the world, then kill it",rabbit_hide,Animals,blazeandcave:animal/going_down_the_rabbit_hole,,World Height
294,Unique,,,0,0,FALSE,,Just Keeps Going,"Eat Rabbit Stew, then avoid eating for the next 3 in-game days (Eat Rabbit Stew once; in the following 3 days, eat nothing else)",16 Cooked Rabbit,,"Eat Rabbit Stew once; in the following 3 days, eat nothing else","Eat Rabbit Stew, then avoid eating for the next 3 in-game days",bowl,Animals,blazeandcave:animal/just_keeps_going,,afk
295,Subset,,,0,0,FALSE,,Cow Tipper,Harvest some leather (Obtain leather),2 Leather,,Obtain leather,Harvest some leather,leather,Animals,blazeandcave:animal/cow_tipper,,
296,Subset,,,0,0,FALSE,,High Steaks,The steaks are high for this advancement! (Eat steak),2 Steak,,Eat steak,The steaks are high for this advancement!,cooked_beef,Animals,blazeandcave:animal/high_steaks,,
297,Subset,,,0,0,FALSE,,Repopulation,Breed two cows with wheat,2 Wheat,,,Breed two cows with wheat,wheat,Animals,minecraft:husbandry/breed_an_animal,,
298,Incidental,,,0,0,FALSE,,Milk does your body good,Take a swig swig swig swig (Drink a milk bucket),1 Milk Bucket,,Drink a milk bucket,Take a swig swig swig swig,milk_bucket,Animals,blazeandcave:animal/milk_does_your_body_good,,
299,Subset,,,0,0,FALSE,,True Cow Tipper,Collect a stack of raw beef and leather,"8 Raw Beef, 8 Leather",,,Collect a stack of raw beef and leather,cow_spawn_egg,Animals,blazeandcave:animal/true_cow_tipper,,
300,Subset,,,0,0,FALSE,,Mooshroom Kingdom,Find mooshrooms on a mushroom island (Enter a mushroom fields or mushroom fields shore biome),,,Enter a mushroom fields or mushroom fields shore biome,Find mooshrooms on a mushroom island,mycelium,Animals,blazeandcave:animal/mooshroom_kingdom,,
301,Subset,,,0,0,FALSE,,Super Mooshroom,Breed two stubborn mooshrooms together,"2 Wheat, 3 Raw Beef, 2 Leather",,,Breed two stubborn mooshrooms together,red_mushroom,Animals,blazeandcave:animal/super_mooshroom,,
302,Unique,,,0,0,FALSE,,Milkshroom,Milk a mooshroom with a bowl to get mushroom stew,,,,Milk a mooshroom with a bowl to get mushroom stew,mushroom_stew,Animals,blazeandcave:animal/milkshroom,,All Mobs
303,Subset,,,0,0,FALSE,,Mushroom Scientist,Strike a mooshroom with lightning and see what happens,1 Silk Touch Enchanted Book,,,Strike a mooshroom with lightning and see what happens,trident,Animals,blazeandcave:animal/mushroom_scientist,,
304,Unique,,,0,0,FALSE,,Overpopulation,Breed every type of animal (See requirement notes below),,,See requirement notes below,Breed every type of animal,hay_block,Animals,minecraft:husbandry/bred_all_animals,,All Mobs
305,Unique,,,0,0,FALSE,,Animal Kingdom,Bring one of every type of animal to one place (have them all within 32 blocks of you) (See requirement notes below),,,See requirement notes below,Bring one of every type of animal to one place (have them all within 32 blocks of you),mangrove_fence,Animals,blazeandcave:animal/animal_kingdom,,All Mobs
306,Subset,,,0,0,FALSE,,Cool Kids,Craft and wear a leather jacket (Obtain a leather tunic),3 Leather,,Obtain a leather tunic,Craft and wear a leather jacket,leather_chestplate,Animals,blazeandcave:animal/cool_kids,,
307,Child,,,0,0,FALSE,,Fashion Statement,Dye some leather pants with one color and put them on (Dye leather pants using one dye),3 Leather,,Dye leather pants using one dye,Dye some leather pants with one color and put them on,leather_leggings,Animals,blazeandcave:animal/fashion_statement,,All Items
308,Child,,,0,0,FALSE,,Shoe Shed,Dye 16 pairs of leather boots each with one of the individual colors (Dye 16 pairs of leather boots each with one of the different dyes),8 Leather,,Dye 16 pairs of leather boots each with one of the different dyes,Dye 16 pairs of leather boots each with one of the individual colors,leather_boots,Animals,blazeandcave:animal/shoe_shed,,All Items
,Subset,,,,,FALSE,,Humble Bundle,Craft a Bundle using Leather and String (Obtain a bundle),4 Leather,,Obtain a bundle,Craft a Bundle using Leather and String,bundle,Animals,blazeandcave:animal/humble_bundle,,
,Unique,,,,,FALSE,,Flamboyant Range,Put 4 of each type of dye into a single Bundle,8 Leather,,,Put 4 of each type of dye into a single Bundle,yellow_bundle,Animals,blazeandcave:animal/flamboyant_range,,
,Unique,,,,,FALSE,,Fractal,Put a Bundle in a Bundle in a Bundle in a Bundle in a Bundle… 16 layers deep,16 Leather,,,Put a Bundle in a Bundle in a Bundle in a Bundle in a Bundle… 16 layers deep,black_bundle,Animals,blazeandcave:animal/fractal,,
309,Subset,,,0,0,FALSE,,Tickle Time!,Pluck some feathers from a chicken (Obtain a feather),2 Feathers,,Obtain a feather,Pluck some feathers from a chicken,feather,Animals,blazeandcave:animal/tickle_time,,
310,Subset,,,0,0,FALSE,,So Good,"Can't beat it, can't beat it (Eat cooked chicken)",2 Cooked Chicken,,Eat cooked chicken,"Can't beat it, can't beat it",cooked_chicken,Animals,blazeandcave:animal/so_good,,
311,Subset,,,0,0,FALSE,,Which came first?,The chicken... or the egg?? (Obtain an egg),,,Obtain an egg,The chicken... or the egg??,egg,Animals,blazeandcave:animal/which_came_first,,
312,Subset,,,0,0,FALSE,,Feeding the Ducks Chickens,Breed chickens by feeding them seeds,"2 Wheat Seeds, 1 Raw Chicken, 4 Eggs",,,Breed chickens by feeding them seeds,wheat_seeds,Animals,blazeandcave:animal/feeding_the_chickens,,
313,Subset,,,0,0,FALSE,,Chicken Cooper,Collect a stack of raw chicken and feathers,"8 Raw Chicken, 8 Feathers",,,Collect a stack of raw chicken and feathers,chicken_spawn_egg,Animals,blazeandcave:animal/chicken_cooper,,
314,Subset,,,0,0,FALSE,,Chatterbox,Tame a Parrot using seeds. WARNING: Do not use a cookie!,1 Cookie,,,Tame a Parrot using seeds. WARNING: Do not use a cookie!,beetroot_seeds,Animals,blazeandcave:animal/chatterbox,,
315,Subset,,,0,0,FALSE,,Is it a Bird?,Look at a Parrot through a Spyglass,10 Wheat Seeds,,,Look at a Parrot through a Spyglass,spyglass,Animals,minecraft:adventure/spyglass_at_parrot,,
316,Unique,,,0,0,FALSE,,Birdkeeper,"Tame all parrot variants (You have to tame: Red, Blue, Cyan, Green and Gray parrots)",,,"You have to tame: Red, Blue, Cyan, Green and Gray parrots",Tame all parrot variants,parrot_spawn_egg,Animals,blazeandcave:animal/birdkeeper,,Explorer
317,Subset,,,0,0,FALSE,,Wooly!,Obtain wool from a sheep by killing it (Kill a sheep),"2 Raw Mutton, 1 White Wool",,Kill a sheep,Obtain wool from a sheep by killing it,white_wool,Animals,blazeandcave:animal/wooly,,
318,Subset,,,0,0,FALSE,,Feeling Sheepish,You'll get over it (Eat cooked mutton),2 Cooked Mutton,,Eat cooked mutton,You'll get over it,cooked_mutton,Animals,blazeandcave:animal/feeling_sheepish,,
319,Subset,,,0,0,FALSE,,Mary Had a Little Lamb...,Breed two sheep to get a lamb,"2 Wheat, 2 Raw Mutton, 1 White Wool",,,Breed two sheep to get a lamb,sheep_spawn_egg,Animals,blazeandcave:animal/mary_had_a_little_lamb,,
320,Incidental,,,0,0,FALSE,,Have a Shearful Day,Use Shears to obtain wool from a sheep,,,,Use Shears to obtain wool from a sheep,shears,Animals,blazeandcave:animal/have_a_shearful_day,,
321,Subset,,,0,0,FALSE,,Sheariously?,Collect a stack of white wool,8 White Wool,,,Collect a stack of white wool,light_gray_wool,Animals,blazeandcave:animal/sheariously,,
322,Child,,,0,0,FALSE,,Live and Let Dye,Dye Sheep with all 16 colors of wool (Right click a sheep with all 16 dyes),"1 Shears, 16 White Wool",,Right click a sheep with all 16 dyes,Dye Sheep with all 16 colors of wool,pink_dye,Animals,blazeandcave:animal/live_and_let_dye,,All Items
323,Subset,,,0,0,FALSE,,Rainbow Collection,Gather all 16 colors of wool,,,,Gather all 16 colors of wool,light_blue_wool,Animals,blazeandcave:animal/rainbow_collection,,
324,Subset,,,0,0,FALSE,,Fuzzy Feet,Craft all 16 colors of carpet,32 White Wool,,,Craft all 16 colors of carpet,magenta_carpet,Animals,blazeandcave:animal/fuzzy_feet,,
325,Subset,,,0,0,FALSE,,Goat out of here!,Slaughter a Goat (Kill a Goat),,,Kill a Goat,Slaughter a Goat,white_dye,Animals,blazeandcave:animal/goat_out_of_here,,
326,Subset,,,0,0,FALSE,,Billy the Kid,Breed two Goats together using Wheat,2 Wheat,,,Breed two Goats together using Wheat,goat_spawn_egg,Animals,blazeandcave:animal/billy_the_kid,,
327,Unique,,,0,0,FALSE,,Whatever Floats Your Goat!,Get in a Boat and float with a Goat (Ride a boat that has a goat in it as well),,,Ride a boat that has a goat in it as well,Get in a Boat and float with a Goat,birch_boat,Animals,minecraft:husbandry/ride_a_boat_with_a_goat,,All Mobs
328,Unique,,,0,0,FALSE,,Screaming Milk,Milk a screaming Goat,,,,Milk a screaming Goat,milk_bucket,Animals,blazeandcave:animal/screaming_milk,,"Explorers
(shared)"
329,Subset,,,0,0,FALSE,,Goat Simulator,Get killed by a Goat that rammed into you. You have Goat to be kidding me!,,,,Get killed by a Goat that rammed into you. You have Goat to be kidding me!,dead_horn_coral_fan,Animals,blazeandcave:animal/goat_simulator,,
330,Subset,,,0,0,FALSE,,Ram,Obtain a Goat’s Horn by having one ram into a block (Obtain a Goat Horn),,,Obtain a Goat Horn,Obtain a Goat’s Horn by having one ram into a block,goat_horn,Animals,blazeandcave:animal/ram,,
331,Unique,,,0,0,FALSE,,Loud and Proud,Play a Goat Horn in the Deep Dark (Play a Goat Horn in the Deep Dark or an Ancient City),3 Echo Shards,,Play a Goat Horn in the Deep Dark or an Ancient City,Play a Goat Horn in the Deep Dark,sculk_sensor,Animals,blazeandcave:animal/loud_and_proud,,Ancient City
332,Unique,,,0,0,FALSE,,Silence of the Lambs,Bring a Sheep into an Ancient City and silence it (Kill a Sheep in an Ancient City),,,Kill a Sheep in an Ancient City,Bring a Sheep into an Ancient City and silence it,gray_wool,Animals,blazeandcave:animal/silence_of_the_lambs,,Ancient City
333,Unique,,,0,0,FALSE,,Battle of the Bands,Blow into a Goat Horn during a raid (Play a Goat Horn while a raid mob is within 50 mobs),4 Emeralds,,Play a Goat Horn while a raid mob is within 50 mobs,Blow into a Goat Horn during a raid,white_banner,Animals,blazeandcave:animal/battle_of_the_bands,,Raids
334,Child,,,0,0,FALSE,,Caprymphony,Blow every type of Goat Horn (Play every type of Goat Horn),,,Play every type of Goat Horn,Blow every type of Goat Horn,note_block,Animals,blazeandcave:animal/caprymphony,,Goats
335,Subset,,,0,0,FALSE,,Ya like jazz?,Breed two bees using flowers,,,,Breed two bees using flowers,honeycomb,Animals,blazeandcave:animal/ya_like_jazz,,
336,Subset,,,0,0,FALSE,,Bee Our Guest,Use a bottle to collect Honey from a Beehive with a campfire beneath it so you don't aggravate the bees,,,,Use a bottle to collect Honey from a Beehive with a campfire beneath it so you don't aggravate the bees,campfire,Animals,minecraft:husbandry/safely_harvest_honey,,
337,Child,,,0,0,FALSE,,Hive Mind,Craft a bee hive using planks and honeycombs then place it (Place a beehive),3 Honeycombs,,Place a beehive,Craft a bee hive using planks and honeycombs then place it,beehive,Animals,blazeandcave:animal/hive_mind,,All Items
338,Subset,,,0,0,FALSE,,NOT THE BEES!,Get stung to death by bees,,,,Get stung to death by bees,spawner,Animals,blazeandcave:animal/not_the_bees,,
339,Incidental,,,0,0,FALSE,,Total Beelocation,Move a Bee Nest with 3 bees inside using Silk Touch (Mine a Bee Nest with 3 bees inside using Silk Touch),,,Mine a Bee Nest with 3 bees inside using Silk Touch,Move a Bee Nest with 3 bees inside using Silk Touch,bee_nest,Animals,minecraft:husbandry/silk_touch_nest,,
340,Subset,,,0,0,FALSE,,"Honey, I'm Home!",Craft a stack of honeycomb blocks for building a home out of,8 Honeycomb Blocks,,,Craft a stack of honeycomb blocks for building a home out of,honeycomb_block,Animals,blazeandcave:animal/honey_im_home,,
341,Subset,,,0,0,FALSE,,"Nest, Quick!",Collect a stack of empty bee nests (Obtain 64 Bee Nests),16 Honey Bottles,,Obtain 64 Bee Nests,Collect a stack of empty bee nests,bee_spawn_egg,Animals,blazeandcave:animal/nest_quick,,
342,Subset,,,0,0,FALSE,,Winnie the Pooh,Drink some honey,2 Honey Bottles,,,Drink some honey,honey_bottle,Animals,blazeandcave:animal/winnie_the_pooh,,
343,Subset,,,0,0,FALSE,,Sticky Situation,Jump into a honey block to slide down it (Slide down a honey block on it's side),1 Honey Blocks,,Slide down a honey block on it's side,Jump into a honey block to slide down it,honey_block,Animals,minecraft:adventure/honey_block_slide,,
344,Unique,,,0,0,FALSE,,WHERE'S THE HONEY LEBOWSKI,Drink 100 bottles of honey,12 Honey Blocks,,,Drink 100 bottles of honey,honey_bottle,Animals,blazeandcave:animal/wheres_the_honey_lebowski,,Eating
345,Subset,,,0,0,FALSE,,Cowboy,Tame a horse by jumping on it over and over again,,,,Tame a horse by jumping on it over and over again,saddle,Animals,blazeandcave:animal/cowboy,,
346,Subset,,,0,0,FALSE,,Foal Play,Breed a horse in an effort to get a better one,,,,Breed a horse in an effort to get a better one,golden_apple,Animals,blazeandcave:animal/foal_play,,
